Titel,Datum,Ort,Link
Gender + Architektur + Eileen Gray,"Wed, Jan 22, 7:30 PM",Filmhaus Köln,https://www.eventbrite.de/e/gender-architektur-eileen-gray-tickets-1115763461549?aff=ebdssbcitybrowse
Сергій Степанисько в Кельні!,"Thu, Jan 23, 7:00 PM",Radio 674FM,https://www.eventbrite.de/e/1097104291469?aff=ebdssbcitybrowse
Burlesque Show - Schall und Rauch,"Sun, Jan 26, 7:00 PM",Echtzeit,https://www.eventbrite.de/e/burlesque-show-schall-und-rauch-tickets-1097092044839?aff=ebdssbcitybrowse
Interaktiver Theaterworkshop,"Wed, Feb 5, 9:30 AM",RehaNova Köln Neurologische Rehabilitationsklinik gGmbH,https://www.eventbrite.com/e/interaktiver-theaterworkshop-tickets-1118793905689?aff=ebdssbcitybrowse
Comedia en Colonia #2,"Sat, Feb 8, 7:45 PM",Allerweltshaus Köln e.V.,https://www.eventbrite.de/e/comedia-en-colonia-2-tickets-1120958038669?aff=ebdssbcitybrowse
"Fortbildung ""Gebärdensprache in den Darstellenden Künsten""",Kein Datum gefunden,Un-Label,https://www.eventbrite.de/e/fortbildung-gebardensprache-in-den-darstellenden-kunsten-tickets-1089867315479?aff=ebdssbcitybrowse
"LITTLE BLUE One Day Choir Köln, Ep.2","Sat, Feb 15, 3:30 PM",TGR The Green Room,https://www.eventbrite.de/e/little-blue-one-day-choir-koln-ep2-tickets-1113621494869?aff=ebdssbcitybrowse
Виступ гурту Hurtom у Кельні [Die ukrainische Band Hurtom in Köln] 16.01,"Thu, Jan 16, 7:00 PM",Theater in der Filmdose,https://www.eventbrite.com/e/hurtom-die-ukrainische-band-hurtom-in-koln-1601-tickets-1094351477729?aff=ebdssbcitybrowse
Gender + Architektur + Eileen Gray,"Wed, Jan 22, 7:30 PM",Filmhaus Köln,https://www.eventbrite.de/e/gender-architektur-eileen-gray-tickets-1115763461549?aff=ebdssbcitybrowse
Сергій Степанисько в Кельні!,"Thu, Jan 23, 7:00 PM",Radio 674FM,https://www.eventbrite.de/e/1097104291469?aff=ebdssbcitybrowse
Burlesque Show - Schall und Rauch,"Sun, Jan 26, 7:00 PM",Echtzeit,https://www.eventbrite.de/e/burlesque-show-schall-und-rauch-tickets-1097092044839?aff=ebdssbcitybrowse
Interaktiver Theaterworkshop,"Wed, Feb 5, 9:30 AM",RehaNova Köln Neurologische Rehabilitationsklinik gGmbH,https://www.eventbrite.com/e/interaktiver-theaterworkshop-tickets-1118793905689?aff=ebdssbcitybrowse
Comedia en Colonia #2,"Sat, Feb 8, 7:45 PM",Allerweltshaus Köln e.V.,https://www.eventbrite.de/e/comedia-en-colonia-2-tickets-1120958038669?aff=ebdssbcitybrowse
"Fortbildung ""Gebärdensprache in den Darstellenden Künsten""",Kein Datum gefunden,Un-Label,https://www.eventbrite.de/e/fortbildung-gebardensprache-in-den-darstellenden-kunsten-tickets-1089867315479?aff=ebdssbcitybrowse
"LITTLE BLUE One Day Choir Köln, Ep.2","Sat, Feb 15, 3:30 PM",TGR The Green Room,https://www.eventbrite.de/e/little-blue-one-day-choir-koln-ep2-tickets-1113621494869?aff=ebdssbcitybrowse
"Meditation, innere Ruhe… aber: Wie anfangen?",heute um 15:30,Kadampa Meditationszentrum Köln,https://www.eventbrite.de/e/meditation-innere-ruhe-aber-wie-anfangen-tickets-1114448167469?aff=ebdssbcitybrowse
"Hypnosis Workshop (couples only, age 20+)","Sun, Jan 12, 7:00 PM",Braunsfeld,https://www.eventbrite.com/e/hypnosis-workshop-couples-only-age-20-tickets-1107583836069?aff=ebdssbcitybrowse
Meditation /Achtsamkeit,"Wed, Jan 15, 1:00 PM",Springs 3 Pilates Studio - Sülz/Klettenberg,https://www.eventbrite.de/e/meditation-achtsamkeit-tickets-1061978098079?aff=ebdssbcitybrowse
Neurostimulation & Neurofeedback - Kostenloser Infotag für Fachpersonal,"Sat, Jan 18, 10:00 AM",AMERON Köln Hotel Regent,https://www.eventbrite.com/e/neurostimulation-neurofeedback-kostenloser-infotag-fur-fachpersonal-tickets-1088440909059?aff=ebdssbcitybrowse
